"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.7002646	0.0662375	0.9165768	0.4192997	0.6400612	0.3701931	0.2016047	0.4677427	0.2765108	0.8432116
1	0.7261759	0.0945505	0.9106112	0.3934324	0.5986052	0.3313924	0.2029581	0.4561199	0.2723398	0.7668769
2	0.7259888	0.0739304	0.9176694	0.3927995	0.5945795	0.3088015	0.1946084	0.4771143	0.2811745	0.8083270
3	0.7094068	0.0369095	0.9543698	0.3867703	0.5760824	0.3647542	0.1827499	0.4825913	0.2747975	0.8586635
4	0.7216711	0.0310056	0.9532164	0.3534600	0.5492325	0.3382069	0.2213636	0.4615820	0.2875458	0.8219677
5	0.6932221	0.0551271	0.8950039	0.3987546	0.4906085	0.3332265	0.1649475	0.4758901	0.2506329	0.8197270
6	0.7337962	0.0762223	0.9411954	0.4011966	0.5477136	0.3200497	0.2034980	0.5170898	0.2535383	0.8087356
7	0.7300083	0.0499473	0.9458724	0.4038760	0.4864710	0.2885814	0.1993965	0.5060081	0.3112714	0.8048602
8	0.6738515	0.0444671	0.8997262	0.4442256	0.5060769	0.2727738	0.2006713	0.5627739	0.2831700	0.7854849
9	0.6992571	0.0444861	0.9346434	0.4287588	0.5174400	0.3283771	0.2130330	0.5424823	0.2873572	0.8068442
10	0.7086988	0.0465892	0.9389554	0.4137045	0.4944454	0.2808577	0.1443624	0.5099720	0.2996232	0.7948834
11	0.6946262	0.0113325	0.9599561	0.3773288	0.4878378	0.3052828	0.2114408	0.5513911	0.2460877	0.8168281
12	0.7195244	0.0369216	0.9525685	0.4408131	0.5006531	0.3142809	0.1703154	0.5729612	0.2659704	0.8176754
13	0.6931531	0.1004012	0.9183010	0.3983696	0.4679560	0.2783178	0.1815923	0.5321455	0.2876617	0.8081423
14	0.7066616	0.0617919	0.8702710	0.3819692	0.4620272	0.2682724	0.2002298	0.5400631	0.2813968	0.7761997
15	0.6921168	0.0380993	0.9214795	0.4103141	0.4578862	0.3378253	0.2463490	0.5514332	0.2908857	0.7944269
16	0.7414354	0.0426811	0.9811616	0.3842477	0.4546228	0.2969703	0.1994157	0.5657531	0.2559903	0.7716559
17	0.7041576	0.0479258	0.8849504	0.3904495	0.4554023	0.2827412	0.1927442	0.5467057	0.3003173	0.7958663
18	0.7083382	0.0553999	0.9430527	0.3541863	0.4515187	0.3079872	0.1775793	0.5786444	0.2914273	0.8185564
19	0.6713475	0.0752247	0.8968403	0.3940358	0.4469275	0.3346217	0.2013973	0.5648122	0.2958484	0.8489095
20	0.7216337	0.0643519	0.8810293	0.4014649	0.4534993	0.3042185	0.1930064	0.5560017	0.3071357	0.8340879
21	0.6930975	0.0378694	0.8809183	0.4336371	0.3934260	0.3199700	0.1985642	0.5842442	0.2758892	0.8392959
22	0.7459433	0.0730686	0.8891223	0.4321449	0.4094308	0.2776385	0.1933936	0.5931383	0.2704741	0.7873990
23	0.6921105	0.0644610	0.8610594	0.4240014	0.3768361	0.2844303	0.1928890	0.6317515	0.2944112	0.8182277
24	0.7461556	0.0804845	0.8885881	0.4261662	0.4225037	0.3298350	0.2113842	0.6134222	0.3042166	0.7987047
25	0.7276251	0.0352933	0.8566178	0.3715536	0.4167600	0.3129791	0.2066217	0.6278184	0.3048770	0.7859316
26	0.7396598	0.0922735	0.8326617	0.4092594	0.3882527	0.3017454	0.2261354	0.6161443	0.2720646	0.7735390
27	0.6964530	0.0494672	0.9095343	0.4001054	0.4032208	0.3006527	0.2064937	0.5783422	0.3156983	0.7917746
28	0.7112370	0.0463115	0.8768326	0.4037295	0.3487366	0.2726642	0.1757307	0.5939182	0.2735556	0.8204709
29	0.7597251	0.0747704	0.9195226	0.4218170	0.3529183	0.2718241	0.1962667	0.5891254	0.3051076	0.8262743
30	0.7120443	0.0863129	0.9084099	0.4001356	0.4041334	0.3095072	0.1825885	0.6098707	0.2654682	0.8217911
31	0.7289825	0.0489640	0.8838420	0.4282005	0.3591300	0.3279677	0.1685613	0.6536140	0.2967053	0.7861312
