"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.5670238	0.9192093	0.8405585	0.8217456	0.0910366	0.8750523	0.8123643	0.7292694	0.0494697	0.7414287
1	0.6395595	0.8572362	0.8239575	0.8509963	0.0989781	0.9165895	0.8255851	0.8195052	0.0464485	0.7916846
2	0.6039506	0.8105264	0.8193411	0.8805150	0.1319787	0.8800206	0.8294756	0.8467011	0.0305213	0.8539092
3	0.5414711	0.8140379	0.8548899	0.8551335	0.0637900	0.8761066	0.8491490	0.8408014	0.0691279	0.8311036
4	0.5641313	0.8097532	0.8389732	0.8361091	0.1258488	0.8371340	0.8251416	0.8267898	0.0551952	0.7974250
5	0.5899366	0.7636500	0.8355093	0.8391739	0.1360355	0.8309368	0.8658762	0.7568913	0.0493555	0.8462294
6	0.5712391	0.7657107	0.8698949	0.8209256	0.0852674	0.8575420	0.8864567	0.7930133	0.0502159	0.8330371
7	0.5975543	0.7304947	0.8438260	0.8372423	0.0912709	0.8218037	0.8159696	0.8094542	0.0540664	0.7721458
8	0.5948621	0.7659885	0.8562011	0.8359884	0.0883535	0.8767851	0.8471572	0.8010073	0.0362439	0.7881395
9	0.6171658	0.7524698	0.8553121	0.8943934	0.0949622	0.8736089	0.8437044	0.8121459	0.0391377	0.7600257
10	0.5679364	0.7139368	0.8778780	0.8628031	0.1019626	0.8658734	0.8242073	0.7853623	0.0342039	0.7375351
11	0.5786225	0.6443295	0.8470191	0.8278305	0.1120724	0.8592162	0.8027002	0.8256204	0.0762751	0.7522353
12	0.5543384	0.6812916	0.8800457	0.8364360	0.1002066	0.8602613	0.8080912	0.8204876	0.0515552	0.7899437
13	0.5438920	0.6436295	0.8935072	0.8293997	0.1141612	0.8418960	0.8250931	0.7686759	0.0000000	0.7275924
14	0.5500529	0.6403410	0.8362304	0.8522422	0.1086392	0.8705332	0.8124117	0.7890941	0.0121584	0.7204127
15	0.5642791	0.6578327	0.8666335	0.8668371	0.1161536	0.8627881	0.8570281	0.7883008	0.0654784	0.6543706
16	0.5408509	0.6504268	0.8722687	0.8030406	0.1060049	0.8519462	0.8295900	0.7685083	0.0749278	0.6949245
