"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.4906497	0.8288031	0.8470162	0.7762620	0.2275985	0.7861891	0.8349064	0.5220171	0.5711063	0.7756996
1	0.4935857	0.8261401	0.8714372	0.8803805	0.2398431	0.7917598	0.8000282	0.4857330	0.5500106	0.6701959
2	0.4696293	0.8676965	0.8970822	0.9174306	0.1867510	0.7774495	0.7494099	0.5046119	0.5050394	0.6745911
3	0.5119364	0.8325310	0.8445292	0.9093238	0.2564115	0.7971986	0.7733314	0.4522355	0.5080043	0.6979477
4	0.4830783	0.8265752	0.7993861	0.9504860	0.2136148	0.7573109	0.7409608	0.4475710	0.5146412	0.6740084
5	0.5278842	0.8799564	0.8472539	0.9238069	0.2161659	0.7623864	0.7368874	0.4760170	0.5449443	0.7000870
6	0.5167619	0.8935506	0.8266508	0.9328871	0.2444020	0.7909200	0.7117174	0.4608879	0.5514499	0.6864216
7	0.4986356	0.8664902	0.8745113	0.8932768	0.2155095	0.7232064	0.7435160	0.4882970	0.5897649	0.6875745
8	0.4989507	0.8528465	0.7818778	0.8542983	0.1942593	0.7503349	0.7215476	0.4360807	0.5321027	0.6900543
9	0.4958209	0.8362009	0.8067062	0.9367657	0.2016142	0.6977901	0.7202422	0.4599002	0.5926598	0.6852161
10	0.5269343	0.8468513	0.7698792	0.8835551	0.2066509	0.6865465	0.6664284	0.4180729	0.5614115	0.6463456
11	0.5106205	0.8299076	0.7635620	0.8951831	0.1669927	0.6859874	0.6927296	0.4312884	0.5698342	0.6740471
12	0.5525515	0.8299240	0.8323439	0.9183486	0.2010678	0.7071876	0.6583873	0.4074184	0.5578698	0.6690463
13	0.5610668	0.7863959	0.7911599	0.8548079	0.1842851	0.6578957	0.6331653	0.4390625	0.5645925	0.6475314
14	0.5148887	0.8563881	0.7714554	0.8653400	0.1860125	0.6773085	0.5896326	0.4259911	0.5808725	0.6489566
15	0.5221954	0.8762591	0.7896271	0.8847261	0.1444475	0.6426737	0.5990052	0.3881207	0.5478103	0.7069950
16	0.5549882	0.8327519	0.8047936	0.8569708	0.1780389	0.6682341	0.5805862	0.3934906	0.5246809	0.6794544
17	0.5449897	0.8440168	0.7479672	0.8835649	0.2204657	0.6782737	0.5934581	0.3935941	0.5883644	0.6473734
18	0.5985976	0.8438382	0.7565662	0.8962889	0.1737492	0.6549755	0.5838636	0.3812892	0.5652775	0.6571030
19	0.5815196	0.8768281	0.7655304	0.8672685	0.2168848	0.6391181	0.6110998	0.3949819	0.5691335	0.6528438
20	0.5757593	0.8930837	0.7689218	0.8710196	0.1876137	0.6174073	0.5793890	0.4110480	0.5512945	0.6868748
21	0.5864319	0.8811151	0.7310964	0.8071038	0.1965277	0.6417107	0.5548161	0.3392900	0.5844981	0.6620489
22	0.5759337	0.8766804	0.7613098	0.7892381	0.1835360	0.6376767	0.5187625	0.3958073	0.5731485	0.6704932
23	0.5687368	0.8633323	0.7202630	0.8734616	0.1377761	0.5913419	0.5356315	0.3356928	0.6007722	0.6819193
24	0.5825252	0.8986528	0.7464304	0.7787560	0.1747828	0.6011706	0.5104004	0.3399980	0.5828086	0.6797078
25	0.5824221	0.8898333	0.7501208	0.8337836	0.1421178	0.6188445	0.4664686	0.3689276	0.5748055	0.6676510
26	0.6106011	0.8799674	0.7171414	0.8246382	0.2022582	0.5957249	0.5409361	0.3536040	0.5820569	0.6704673
27	0.6383826	0.8662394	0.7258703	0.8065368	0.1639526	0.6199168	0.4992786	0.3562888	0.6194886	0.7145234
28	0.6318495	0.8881693	0.7374848	0.7700783	0.1886712	0.5775870	0.4941009	0.3249945	0.5712856	0.6530207
29	0.6055430	0.8489775	0.7349908	0.7986762	0.2193724	0.5946241	0.4889674	0.4069603	0.5875394	0.6618948
30	0.6503635	0.8517072	0.6583274	0.7743181	0.2089652	0.5558405	0.4863953	0.3972648	0.6159723	0.6847079
31	0.6030228	0.8679429	0.7202208	0.8172336	0.2007655	0.5623985	0.5070713	0.3824421	0.5547940	0.6830023
32	0.6491185	0.8582999	0.7178064	0.8030033	0.1761453	0.5523431	0.4470519	0.3671068	0.5869210	0.6883012
33	0.6483248	0.8533465	0.6911354	0.8241446	0.1749637	0.5638521	0.4783904	0.4323327	0.5874921	0.6569557
34	0.6269478	0.8077702	0.6755024	0.7801195	0.1951630	0.5192744	0.4640310	0.4111811	0.5539052	0.6993047
35	0.6597108	0.8379985	0.6561217	0.8257526	0.2109012	0.5348173	0.4797110	0.3864588	0.5702220	0.7496251
36	0.6680216	0.8333393	0.6747979	0.8321936	0.1894191	0.5626368	0.4437971	0.3983839	0.5682573	0.6777811
37	0.6637624	0.8187309	0.6516680	0.7848761	0.2080507	0.5621951	0.4452908	0.3734663	0.5673845	0.6971808
38	0.6866163	0.8513928	0.6302192	0.7029201	0.1620633	0.5691192	0.4015459	0.3844945	0.5809822	0.6871034
39	0.6857287	0.8470235	0.6293340	0.8002578	0.2445208	0.5794924	0.4258689	0.3828487	0.5333578	0.7385927
40	0.6902496	0.8741112	0.6619963	0.7898841	0.2046034	0.5805381	0.4190940	0.3885170	0.5729700	0.7350649
41	0.6827299	0.8729177	0.6395841	0.8070956	0.1911190	0.5080655	0.4050150	0.3797619	0.5644588	0.7221433
42	0.7192386	0.8371459	0.6581895	0.8529732	0.2231186	0.5453247	0.3730531	0.3801436	0.5462119	0.7028612
43	0.6602146	0.8489305	0.6083102	0.8432008	0.2072422	0.5380167	0.3828097	0.4005224	0.5620752	0.7112101
44	0.6821977	0.8144641	0.6577056	0.8162600	0.2723027	0.5389132	0.3822934	0.3503344	0.5714559	0.7647650
45	0.6690160	0.8496718	0.6220887	0.8581019	0.2044510	0.5169401	0.3985229	0.3725756	0.5933716	0.7267995
46	0.7415035	0.8513616	0.6387511	0.8492230	0.2075983	0.5282161	0.3767500	0.3894322	0.5567202	0.7787878
47	0.7490916	0.8645296	0.5959111	0.8581289	0.2725435	0.5175030	0.3587247	0.3471349	0.5683082	0.7813015
48	0.7312961	0.8342292	0.6426742	0.8790275	0.2571424	0.5289569	0.3352644	0.3951788	0.5343242	0.7943007
49	0.7491762	0.8397282	0.6440181	0.8461716	0.2668746	0.5170821	0.3824926	0.3544732	0.5431750	0.7714510
50	0.7299780	0.8122297	0.5836888	0.8922750	0.2612337	0.5339277	0.3527673	0.3546299	0.5437246	0.7569067
51	0.7316009	0.8450865	0.6073321	0.8610036	0.2536582	0.5056470	0.3514214	0.3546146	0.5521142	0.7308150
52	0.7101443	0.8247962	0.6008940	0.8659564	0.2865627	0.4948676	0.3624507	0.3687117	0.5625844	0.7630537
53	0.7260758	0.8213926	0.6180459	0.8665220	0.2467179	0.4808942	0.3785808	0.3290217	0.5823140	0.7794962
54	0.7425189	0.8399237	0.6127861	0.9062967	0.2671565	0.5108726	0.3483878	0.3304640	0.6075252	0.7425839
55	0.7167881	0.8498941	0.6397129	0.8488373	0.2851854	0.4909984	0.3523016	0.3543725	0.5863148	0.7780753
56	0.7587047	0.8536278	0.5840815	0.8447187	0.2243987	0.4756392	0.3590044	0.3230213	0.5755150	0.7573436
57	0.7560968	0.7873043	0.5866094	0.8525713	0.2645522	0.4803657	0.3741516	0.3322321	0.5625355	0.7249342
58	0.7564749	0.8216633	0.5974420	0.8725732	0.2875920	0.5029622	0.3441815	0.3343515	0.5575460	0.7905149
59	0.7945450	0.8017979	0.6104922	0.8880369	0.2612524	0.4582587	0.3305238	0.3201294	0.6084903	0.7466819
60	0.7960462	0.8131079	0.6427522	0.8755879	0.2506923	0.4779111	0.3709957	0.2991432	0.5351908	0.7149172
61	0.7489710	0.8249374	0.5779050	0.8361259	0.2608855	0.5058035	0.3570179	0.3627307	0.5794171	0.7752492
62	0.7831739	0.8038552	0.5956753	0.8618868	0.3117500	0.4995001	0.3108175	0.3489646	0.5790705	0.7489409
63	0.7937431	0.8252146	0.6087585	0.8966920	0.2784167	0.5007882	0.3368764	0.3990228	0.5567214	0.7400943
64	0.7420339	0.7428315	0.6467807	0.8895705	0.2684956	0.5009077	0.3470322	0.3541577	0.5969456	0.7095167
65	0.7310201	0.7986761	0.6435176	0.9034414	0.2804903	0.4309137	0.3203827	0.3435785	0.5841930	0.7246970
66	0.7679670	0.7748516	0.6106626	0.9082514	0.2680030	0.4449649	0.3514242	0.3071192	0.5863478	0.7272455
67	0.7211927	0.7682325	0.6358381	0.8738605	0.3161012	0.4220356	0.3439223	0.3806378	0.5383422	0.7428644
68	0.7562846	0.7958848	0.6026981	0.8807318	0.3072955	0.4452345	0.3237361	0.3674661	0.5574899	0.7486697
69	0.7740973	0.7778871	0.5625988	0.8497404	0.3085928	0.4871348	0.3388084	0.3756929	0.5699084	0.7049240
70	0.7300484	0.7931649	0.6107705	0.8362559	0.2780348	0.4435501	0.3448129	0.4090413	0.5862270	0.7620777
71	0.7639171	0.7992955	0.5842886	0.8726212	0.3049374	0.4578389	0.3363707	0.3193083	0.5754304	0.7469921
72	0.7224230	0.7731869	0.5960290	0.8824166	0.2736325	0.4794188	0.3057685	0.3480357	0.5503751	0.7698782
73	0.7532219	0.8436601	0.6053479	0.8665958	0.2892469	0.4112965	0.2843950	0.3321416	0.5064346	0.7865109
74	0.7314707	0.8160316	0.5648887	0.8599836	0.2868127	0.4216496	0.3291370	0.3656205	0.5691220	0.7059482
75	0.7570957	0.8381308	0.6002187	0.9063157	0.2830858	0.4493373	0.2786686	0.3254238	0.5359809	0.7407762
76	0.7440460	0.8322720	0.6075520	0.8559238	0.3134485	0.4220315	0.3054214	0.3233547	0.5414878	0.6979828
77	0.7256161	0.8327392	0.5611488	0.8978528	0.2889836	0.3474739	0.3160769	0.3221785	0.5454723	0.7201761
78	0.7212343	0.8375410	0.5562353	0.8423305	0.3030501	0.3989298	0.3056837	0.3439030	0.5104173	0.7276892
79	0.7414818	0.8266172	0.5550950	0.8499519	0.3020884	0.3755909	0.3314347	0.3891496	0.5378564	0.7144763
80	0.7349272	0.8304318	0.5491370	0.8130890	0.3005082	0.4063657	0.3265495	0.3419626	0.5482921	0.7106875
81	0.7593478	0.8509828	0.5850128	0.8090417	0.2839685	0.3876126	0.3085886	0.3541145	0.5092827	0.7286003
82	0.7078606	0.8118445	0.5621349	0.8561590	0.2832870	0.3705663	0.3099194	0.3365142	0.5230701	0.6853643
83	0.7580101	0.8573674	0.5425395	0.8385973	0.2913841	0.3540634	0.3378075	0.3833388	0.5230099	0.7049485
84	0.7042876	0.8176592	0.5600756	0.8157764	0.2948999	0.3721265	0.3217507	0.3851013	0.5228340	0.7034076
85	0.7069384	0.7677800	0.5637635	0.8655528	0.2716526	0.3630205	0.2831053	0.3806605	0.5333524	0.6584535
86	0.7089462	0.8112875	0.5680841	0.8263362	0.2803695	0.3462121	0.3009107	0.3918959	0.5525507	0.6378509
87	0.7368021	0.8230498	0.5365124	0.8461959	0.2819292	0.3608119	0.2865702	0.4078726	0.5237704	0.6713827
88	0.6799995	0.8193195	0.5530148	0.8525001	0.2513491	0.3730129	0.3166733	0.3703941	0.4834048	0.6645380
89	0.6710779	0.7998805	0.5563000	0.8363764	0.3090150	0.3726662	0.3181422	0.3857213	0.4719424	0.6416967
90	0.7083894	0.8043595	0.5382215	0.8126209	0.2674657	0.3005456	0.3169719	0.3959749	0.4607588	0.7022469
91	0.7396820	0.8301949	0.5703699	0.8773481	0.2515956	0.3458327	0.2921751	0.3527431	0.4756522	0.7058263
92	0.7318291	0.8278314	0.5330691	0.8504540	0.2426048	0.3378837	0.3087481	0.3810868	0.4840425	0.6997750
93	0.7213849	0.7982704	0.5470103	0.8308215	0.2709171	0.3376720	0.3011559	0.3962685	0.4679249	0.6574609
94	0.7437609	0.8311669	0.5285870	0.8355961	0.2488873	0.3644494	0.3018666	0.4056892	0.4589062	0.7315023
95	0.7584677	0.7965334	0.5765307	0.8774925	0.2427605	0.3115266	0.3001942	0.3513174	0.4345649	0.6556637
96	0.7885192	0.7948732	0.5659851	0.8391663	0.2489692	0.3062881	0.3315157	0.3978394	0.4872782	0.7114056
97	0.7363042	0.8225024	0.5771547	0.8251908	0.2470899	0.3634216	0.3192351	0.3707961	0.4849701	0.6655643
98	0.7628102	0.8123079	0.5627508	0.8822898	0.2350977	0.3327508	0.2986794	0.3532679	0.4668102	0.7113808
99	0.7433161	0.7786779	0.5261420	0.9016158	0.2649906	0.3149980	0.2885058	0.3928836	0.4602490	0.7181674
100	0.7336298	0.7793320	0.5374737	0.8280836	0.2657383	0.3514934	0.3135280	0.3809026	0.4672768	0.7057550
101	0.7063333	0.7783977	0.5129040	0.8511305	0.2518714	0.3222501	0.3292056	0.4363260	0.4618013	0.7054750
102	0.7058524	0.7546619	0.5695079	0.8817775	0.2355974	0.3207514	0.3262731	0.4039647	0.4637780	0.7752600
103	0.7267422	0.8054213	0.5378634	0.9185571	0.2748997	0.3164614	0.3155641	0.3838247	0.4885664	0.7050456
104	0.7040606	0.7568902	0.5444519	0.8509323	0.2732822	0.3138492	0.3047831	0.3981522	0.4427304	0.6933253
105	0.7035557	0.7967614	0.5507567	0.8809825	0.2561421	0.3073412	0.3169677	0.4040657	0.4389324	0.7117750
