"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.7336551	0.0039428	0.7766167	0.2340780	0.7584340	0.6764186	0.4961964	0.2738510	0.2042526	0.5692532
1	0.6630082	0.0124832	0.5746652	0.1969519	0.6362046	0.6563101	0.5348318	0.1883464	0.1493913	0.8908301
2	0.7482182	0.0342189	0.5714332	0.1611047	0.6992783	0.7376516	0.5393152	0.2301003	0.1357764	0.9531305
3	0.7438290	0.0503533	0.6402903	0.2057035	0.5136884	0.5892824	0.5612691	0.2457299	0.2453791	0.8524096
4	0.6268253	0.0580783	0.6957436	0.1373423	0.7112461	0.6014803	0.5706323	0.2574067	0.2444731	0.8222856
5	0.7295629	0.0616424	0.6436767	0.2010777	0.6807021	0.6624778	0.6050124	0.1822260	0.2153539	0.8750551
6	0.5882525	0.0599836	0.6236272	0.1879331	0.6208801	0.6707330	0.5554992	0.2298482	0.2081059	0.7657727
7	0.7042140	0.0753789	0.7199144	0.2276137	0.6208818	0.6481585	0.5091215	0.1907358	0.2098468	0.8106062
8	0.6949370	0.0945772	0.7902715	0.1880596	0.5899721	0.6160919	0.6093784	0.2239031	0.2994660	0.6716814
9	0.6733327	0.1430747	0.8117301	0.1713654	0.6634161	0.6206966	0.5389742	0.2016591	0.2870450	0.8076642
10	0.7223067	0.0819291	0.7803885	0.2121830	0.4483379	0.6258578	0.5049845	0.1733329	0.2234269	0.9576481
11	0.6423261	0.1521377	0.8268008	0.1580785	0.6360771	0.5475220	0.5855863	0.3288292	0.1984223	0.6795068
12	0.6525620	0.1188088	0.6913912	0.1847237	0.6358548	0.6244777	0.5043908	0.2292104	0.2214264	0.7868469
13	0.6822972	0.1163806	0.7982637	0.1806457	0.6425218	0.6196243	0.6178021	0.2391715	0.2357231	0.8438728
14	0.7567128	0.1560008	0.6803147	0.1222427	0.6552023	0.4841462	0.4688899	0.2900397	0.2165172	0.7164834
15	0.6303559	0.1526213	0.6278313	0.1726032	0.6495193	0.4657569	0.5343875	0.1969183	0.2756618	0.7531834
