"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.9267684	0.8774062	0.1155473	0.8550660	0.2123545	0.8659035	0.2082063	0.3094994	0.1136242	0.8605015
1	0.8955815	0.8357067	0.1256904	0.8995514	0.1668647	0.8498085	0.1725408	0.2957500	0.1269545	0.8098289
2	0.9037202	0.8067654	0.1079554	0.8845478	0.2119522	0.8721733	0.2010384	0.2655674	0.0999645	0.7985030
3	0.8623653	0.8109750	0.1611627	0.9065711	0.1946139	0.8669081	0.1791364	0.2239842	0.0877422	0.7987556
4	0.8567238	0.8269874	0.1466516	0.8725578	0.1750868	0.8532480	0.1907803	0.2863288	0.1364649	0.8249759
5	0.8657193	0.8633468	0.1948503	0.8782671	0.1926991	0.8512834	0.1348538	0.2457965	0.1238291	0.8374911
6	0.8516428	0.8316266	0.1867390	0.8809841	0.1273530	0.8655959	0.1955072	0.2374778	0.0849001	0.8308446
7	0.8850053	0.8738071	0.1835656	0.9286465	0.1800626	0.8289618	0.1770844	0.2294045	0.0961552	0.8181454
8	0.9075853	0.8412190	0.1881220	0.9142138	0.1767899	0.8654503	0.1614141	0.2116390	0.1239587	0.7977323
9	0.8839750	0.8577944	0.2142535	0.8916525	0.1664484	0.8961948	0.1713325	0.2106481	0.1226314	0.7939941
10	0.8802967	0.8678124	0.1921755	0.8698305	0.1559384	0.9011867	0.1696734	0.1809770	0.1034178	0.8059431
11	0.8866036	0.8715645	0.2538626	0.8420964	0.1893425	0.8823305	0.1588175	0.2240376	0.1444975	0.8210421
12	0.8861401	0.7833183	0.2636252	0.8449493	0.1737625	0.9136751	0.1586918	0.2360154	0.1175657	0.8076510
13	0.8327265	0.8850787	0.1796052	0.8825482	0.2011556	0.8491908	0.1338619	0.2053497	0.0955228	0.7995475
14	0.8661208	0.8208623	0.2635967	0.8638848	0.1628500	0.8786098	0.1673723	0.1590625	0.1201716	0.8462061
15	0.8769924	0.8184477	0.2892546	0.8690881	0.1521186	0.8705181	0.1866434	0.1504659	0.1323408	0.8006221
16	0.8896807	0.8545202	0.3109600	0.8407432	0.1661998	0.8887119	0.1600427	0.2170652	0.0920789	0.7838292
17	0.8784693	0.8786464	0.3026715	0.8086225	0.1185596	0.8602360	0.1987197	0.2088342	0.0937031	0.7864018
18	0.8984407	0.8251005	0.2679467	0.8328358	0.1188888	0.8547629	0.1656667	0.1352862	0.1096877	0.7759939
19	0.8628359	0.8391706	0.3087510	0.8562013	0.1404655	0.8929323	0.1537830	0.1494120	0.1059332	0.7889913
20	0.8838147	0.8556686	0.3191861	0.8472916	0.1622181	0.8726352	0.1804453	0.1558920	0.1188121	0.8228038
21	0.8729145	0.8047967	0.3314117	0.8480268	0.1336550	0.8594700	0.2207200	0.1529765	0.0926785	0.8314373
22	0.8909721	0.8412881	0.3254962	0.8473461	0.1163234	0.8303161	0.1892395	0.1666353	0.1106014	0.8373755
23	0.9495083	0.8056251	0.3861983	0.8669412	0.1626676	0.8552713	0.1965362	0.1112733	0.1188353	0.7889456
24	0.8775154	0.7899849	0.3980216	0.8170682	0.1084271	0.8537801	0.1452636	0.1376572	0.1191137	0.8357454
25	0.9116446	0.8603503	0.3981648	0.8630008	0.1689054	0.8863162	0.2114467	0.1188414	0.0813374	0.8492349
26	0.8333040	0.8132507	0.4114214	0.8446501	0.1163650	0.8771187	0.2108217	0.1155037	0.1260477	0.8174228
27	0.8771100	0.8645049	0.4442393	0.8238228	0.1019055	0.8344517	0.2128377	0.0773513	0.1026028	0.8216970
28	0.9394873	0.8425043	0.4369126	0.8228387	0.1377252	0.8537638	0.1612913	0.0940777	0.0888218	0.8676147
29	0.8984086	0.8455852	0.4853614	0.8095613	0.1450773	0.8702909	0.1682734	0.1524624	0.1095483	0.8529058
30	0.8745987	0.8515151	0.4396308	0.8437140	0.1320459	0.8069234	0.1864878	0.0831585	0.0691279	0.8783324
31	0.9050541	0.8583591	0.4727978	0.8366285	0.1173387	0.8775770	0.1924352	0.0819256	0.1271760	0.8812985
32	0.8628345	0.8201932	0.4571667	0.8099627	0.1577880	0.8436745	0.1698652	0.0714206	0.0738507	0.8525391
33	0.8618189	0.8802872	0.4681248	0.8451929	0.0898297	0.8696333	0.1695583	0.1106493	0.0907368	0.8963323
34	0.8631469	0.8534759	0.4776710	0.8419359	0.1357131	0.8610200	0.1626360	0.1304699	0.1179690	0.8597371
35	0.8856460	0.8216952	0.4743725	0.8613555	0.1533313	0.8565628	0.1949852	0.1035116	0.1013255	0.8205867
36	0.8934163	0.8571171	0.4868910	0.7960945	0.1435401	0.9181807	0.1695483	0.0912452	0.0833521	0.8758058
37	0.8746349	0.8394264	0.4747646	0.8281941	0.0999985	0.8431584	0.1874310	0.0267886	0.1041468	0.8351890
38	0.8608193	0.8689807	0.4768595	0.8731255	0.0942253	0.8670185	0.1791336	0.1022745	0.0803900	0.8936663
39	0.8976884	0.8215300	0.4729204	0.8507978	0.0794667	0.8705909	0.1905928	0.0588593	0.0833886	0.8723802
40	0.8789308	0.8109572	0.4909544	0.8491651	0.0953603	0.8605404	0.2027461	0.0963723	0.1055461	0.8969203
41	0.9197611	0.8141007	0.4770031	0.8130849	0.1280589	0.8452680	0.1831558	0.0840604	0.0709165	0.8883057
42	0.9048424	0.8366754	0.5346227	0.8244021	0.1060278	0.8593714	0.1682614	0.0482668	0.0930267	0.8893808
43	0.9679903	0.8713069	0.5609786	0.8307143	0.0802019	0.9007517	0.2175756	0.0795559	0.1336539	0.8729823
44	0.9214397	0.8634386	0.5831289	0.8423762	0.1436369	0.9282256	0.1788865	0.0926868	0.0872547	0.8840430
45	0.9439821	0.8472750	0.5481393	0.8508743	0.1114882	0.8691783	0.2077241	0.0675112	0.1026682	0.8688323
46	0.9591033	0.8506904	0.5599957	0.8391594	0.1065653	0.8941087	0.1829125	0.0920728	0.1095153	0.8663352
47	0.9395481	0.8364011	0.5510006	0.8420355	0.0925025	0.8997838	0.1561562	0.0026207	0.1234034	0.8963032
48	0.9540258	0.8597401	0.5210225	0.8642984	0.1161368	0.8972606	0.1788603	0.0782202	0.1347121	0.8791050
49	0.9374971	0.8319288	0.5824275	0.8209656	0.1121746	0.8945458	0.2174868	0.0721933	0.0889102	0.8663943
50	0.8977428	0.8907861	0.5795121	0.8378022	0.0695063	0.8493858	0.2106796	0.0428253	0.1509624	0.8379083
51	0.9203210	0.8538252	0.5713296	0.8369367	0.1003673	0.8458107	0.1699299	0.0501439	0.1203663	0.8423341
52	0.8980566	0.8689489	0.5919157	0.8681075	0.0951263	0.8439827	0.2166336	0.0602354	0.1222268	0.8531873
53	0.9302032	0.8429343	0.5783782	0.8886420	0.0796327	0.8540358	0.1414071	0.0831544	0.1747343	0.8628032
54	0.9242583	0.8807847	0.5766700	0.7884409	0.0586536	0.8577690	0.1724402	0.0708725	0.1175340	0.8655935
55	0.8920112	0.8672926	0.5771205	0.8784261	0.1077577	0.8825972	0.1727426	0.0381628	0.0917286	0.8857853
56	0.9045331	0.8578925	0.5978534	0.8604887	0.1201979	0.8718430	0.1994140	0.0833578	0.1192662	0.8787338
57	0.8731430	0.8834722	0.5877546	0.8915847	0.1198440	0.8751780	0.1738654	0.0569799	0.1419414	0.8804685
58	0.8967769	0.8828449	0.5993872	0.9094931	0.0793956	0.8509120	0.2075004	0.0399499	0.1412823	0.8384834
59	0.9587907	0.8255343	0.5898619	0.9070886	0.0657002	0.8757094	0.1902713	0.1002676	0.1458065	0.8533486
60	0.9371305	0.8693749	0.5986292	0.9255725	0.0956635	0.8693710	0.1790343	0.0535713	0.1180298	0.8453392
61	0.8764887	0.8806549	0.6423851	0.8774398	0.1248380	0.8609523	0.2062140	0.0139071	0.1125190	0.8638683
62	0.8713550	0.8659672	0.6543760	0.9604430	0.0938158	0.8882745	0.1715574	0.0584502	0.1310275	0.8733525
63	0.8784864	0.8375573	0.6544680	0.9754325	0.0917735	0.8543759	0.1680588	0.0642431	0.1257697	0.8756490
64	0.8583063	0.8836292	0.6789011	0.9419848	0.1008831	0.8558226	0.1991897	0.0457731	0.1217903	0.8875851
65	0.8894018	0.9068048	0.6359776	0.9671485	0.1291283	0.8312573	0.2222442	0.0613463	0.1155853	0.8851743
66	0.8644372	0.8908993	0.7123990	0.9819740	0.0746468	0.8535404	0.2025249	0.0399312	0.1261978	0.8778212
67	0.8600100	0.8589313	0.6804900	0.9691159	0.1183543	0.8148319	0.1985959	0.0403896	0.1491616	0.8544859
68	0.8347815	0.9303576	0.6977145	0.9110886	0.0889365	0.8631423	0.2472673	0.0545064	0.1618685	0.8233112
69	0.8206366	0.8722165	0.6855888	0.9984662	0.0776398	0.8922339	0.2091745	0.0048087	0.1269482	0.8411294
70	0.8423918	0.8760327	0.6820561	1.0000000	0.0869832	0.8722263	0.1857409	0.0808044	0.1148997	0.8494459
71	0.8590180	0.9056102	0.6687808	0.9648810	0.0812244	0.8351749	0.1896263	0.0234932	0.1636322	0.8777175
72	0.8446682	0.8816445	0.6728038	0.9957284	0.0958433	0.8047698	0.2127988	0.1027655	0.1496526	0.8085702
73	0.8492590	0.9316434	0.6929338	0.9495243	0.1126124	0.8564476	0.2353040	0.0234491	0.0993886	0.8527534
74	0.8534400	0.9454708	0.6821581	0.9848894	0.0910106	0.8462099	0.2513122	0.0335053	0.1058726	0.8230558
75	0.8388015	0.9423948	0.7016384	0.9845295	0.0345708	0.8497566	0.2404328	0.0162349	0.1393376	0.8338787
