"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
51	0.0399679	0.2815635	0.5673314	0.4875053	0.3552766	0.0531254	0.6335634	0.5401625	0.7173408	0.6830342
52	0.0496266	0.3024017	0.6501782	0.4691437	0.4226526	0.0378868	0.6986344	0.6250603	0.7128306	0.5882493
53	0.0457447	0.2869050	0.6140267	0.5606128	0.4240617	0.0470304	0.6406336	0.5481816	0.5373893	0.5958317
54	0.0423687	0.2825259	0.4746094	0.5120126	0.4288149	0.0340966	0.6636570	0.6996722	0.7181162	0.6700875
55	0.0373302	0.3186608	0.5886680	0.5534075	0.4077489	0.0404050	0.6330814	0.6674649	0.7492828	0.7776117
56	0.0119628	0.3282309	0.5368406	0.5422740	0.4084976	0.0361760	0.6820694	0.6273504	0.7439560	0.5970646
57	0.0464914	0.2762523	0.5118924	0.4815141	0.3507092	0.0519725	0.6981468	0.5963362	0.6705272	0.7030868
58	0.0397628	0.3425329	0.5649963	0.3926206	0.4231839	0.0443873	0.6252309	0.6424679	0.6654043	0.6838835
59	0.0379397	0.2949289	0.6626781	0.4779116	0.3560032	0.0558106	0.6709943	0.6123984	0.6540570	0.7752358
60	0.0158508	0.3422848	0.6024110	0.4677599	0.4875733	0.0393816	0.6499995	0.6445239	0.7202478	0.7986423
61	0.0295390	0.3211266	0.5928225	0.5249926	0.4039412	0.0406501	0.6161860	0.5786470	0.7535502	0.7267014
62	0.0160838	0.3015999	0.5138804	0.4141799	0.4343270	0.0239165	0.5772589	0.5790736	0.6820764	0.7054500
63	0.0403645	0.3119599	0.5248845	0.5901175	0.4369219	0.0306431	0.7429915	0.5880027	0.7479995	0.7504363
64	0.0235169	0.3422311	0.6803255	0.4413481	0.4386442	0.0569195	0.6958892	0.7093711	0.7492589	0.7698410
65	0.0288938	0.3182560	0.5830070	0.4606256	0.3746567	0.0423439	0.7273239	0.5973938	0.6401352	0.6572579
66	0.0211705	0.3333047	0.5457731	0.4723940	0.3897300	0.0298216	0.7227829	0.6896692	0.8167489	0.6989788
67	0.0173610	0.3125902	0.5675023	0.4689450	0.3994391	0.0275712	0.6165438	0.7058606	0.6037136	0.6806959
68	0.0392625	0.2926008	0.6392816	0.4094534	0.3753078	0.0663785	0.7225238	0.7664111	0.6671098	0.6919864
69	0.0304001	0.2888713	0.5714695	0.5715010	0.3622501	0.0418713	0.6461015	0.6741445	0.5984827	0.6632042
70	0.0503358	0.2982946	0.5575496	0.5617511	0.4841017	0.0262192	0.6779468	0.6312749	0.7236164	0.7497014
71	0.0369344	0.2880894	0.6562364	0.4684189	0.3931344	0.0572844	0.6854288	0.7384607	0.7127148	0.6632487
72	0.0575347	0.3086369	0.6108477	0.5142196	0.3805485	0.0411947	0.6254134	0.6820048	0.6732038	0.6998691
73	0.0441947	0.3009999	0.5974778	0.5405157	0.4359800	0.0388164	0.7031389	0.7861623	0.8286429	0.6985604
74	0.0185996	0.3454792	0.4745286	0.4299308	0.4603973	0.0534845	0.6429217	0.6829869	0.7572591	0.8133040
75	0.0147252	0.3594062	0.5275241	0.4879535	0.3666472	0.0390885	0.6543769	0.7297368	0.8253755	0.6362410
76	0.0120433	0.3668466	0.4993695	0.4493477	0.3812174	0.0249505	0.7655900	0.6522377	0.7888169	0.7077835
77	0.0345183	0.3596202	0.5997753	0.5113382	0.4316644	0.0255444	0.6605347	0.6896567	0.7391986	0.7096834
78	0.0132733	0.4016201	0.5258455	0.4476217	0.4793940	0.0410037	0.7550699	0.6399631	0.6424030	0.6909588
79	0.0300434	0.4013648	0.6420855	0.4488347	0.3851170	0.0438199	0.6522157	0.8045266	0.7194776	0.7211400
80	0.0103370	0.2913352	0.5245339	0.4958586	0.4352451	0.0352549	0.6214646	0.7319419	0.7335593	0.6745298
81	0.0167128	0.3323096	0.5818252	0.4195360	0.3902474	0.0748692	0.7300971	0.6042179	0.7597892	0.6416197
82	0.0332284	0.4686183	0.5705190	0.5056158	0.4085846	0.0286074	0.6477402	0.7264072	0.6863664	0.8220847
83	0.0089049	0.3603549	0.5206020	0.5476797	0.3823213	0.0309197	0.7428232	0.6096924	0.8184170	0.6989127
84	0.0138872	0.2678830	0.5502705	0.4235555	0.3745383	0.0570115	0.7913022	0.7057754	0.7163893	0.7414253
85	0.0188384	0.2622191	0.5077933	0.4113272	0.3998208	0.0585524	0.5951528	0.7236537	0.7947350	0.7578789
86	0.0217461	0.3543818	0.5738950	0.5371333	0.4532006	0.0312862	0.8594084	0.6895111	0.7586702	0.5656667
87	0.0166803	0.3358940	0.6703416	0.4559186	0.3457169	0.0215951	0.7308251	0.7803902	0.7760057	0.6063759
88	0.0194824	0.3455499	0.5803400	0.5337031	0.4022266	0.0406982	0.6666286	0.8146348	0.7537043	0.6594337
89	0.0211681	0.3306850	0.5488727	0.5526620	0.3903266	0.0982587	0.6582729	0.6207954	0.7285201	0.6938520
90	0.0239313	0.3083897	0.4942308	0.4960407	0.4463543	0.0396290	0.7413492	0.6037294	0.8782287	0.6715849
91	0.0152104	0.3404610	0.6026260	0.5293669	0.4241927	0.0607498	0.6801164	0.6290142	0.7356071	0.7117550
92	0.0178871	0.2961195	0.5469925	0.4270512	0.4723269	0.0374228	0.6006433	0.7103327	0.6778061	0.6879526
93	0.0180993	0.3643401	0.5634486	0.5536997	0.3790254	0.0230459	0.6380287	0.6695449	0.5993612	0.6447353
94	0.0168153	0.3739299	0.6689514	0.5153042	0.4811556	0.0866210	0.6173996	0.6738945	0.6553618	0.6507769
95	0.0156007	0.3640193	0.5965761	0.6584611	0.4267907	0.0720234	0.6621149	0.7043872	0.6788806	0.6668677
96	0.0170156	0.4073105	0.6151636	0.5584804	0.4044360	0.0356842	0.6521258	0.6117208	0.8630135	0.6316323
97	0.0174086	0.3676850	0.6419985	0.4915992	0.3974165	0.0615018	0.6711868	0.6932887	0.7267547	0.6053158
98	0.0133922	0.3184773	0.6652735	0.5444638	0.4082414	0.0254452	0.6719049	0.7359111	0.9227902	0.6960912
99	0.0191279	0.3474810	0.5879229	0.4086536	0.4315850	0.0460758	0.6310774	0.6749245	0.7361289	0.6879101
100	0.0251965	0.3173581	0.4816409	0.3963006	0.4288764	0.0867066	0.7462280	0.7285654	0.7274644	0.6457402
101	0.0104201	0.3290409	0.5898197	0.3939574	0.3650360	0.0433510	0.7114290	0.5405573	0.6475097	0.7437893
102	0.0104062	0.2863109	0.6518608	0.4568569	0.3601265	0.0342428	0.6598159	0.7315733	0.7370906	0.6305107
103	0.0251466	0.3896144	0.5552347	0.4638720	0.3636934	0.0217591	0.7073417	0.6235980	0.6893179	0.6464808
104	0.0267299	0.3842834	0.6132783	0.4367013	0.3705404	0.0384742	0.5851191	0.7330593	0.6571875	0.7830598
105	0.0392314	0.4184578	0.7024344	0.5375975	0.3663572	0.0445956	0.5948381	0.6150024	0.6868968	0.6357201
106	0.0210815	0.3416268	0.6017875	0.4919525	0.4293387	0.0500018	0.5791487	0.6979256	0.6497370	0.7298208
107	0.0359028	0.3319116	0.5689587	0.4553052	0.4536280	0.0296129	0.6311191	0.5769120	0.6129890	0.6986687
108	0.0183320	0.3770437	0.5989511	0.4724633	0.3324623	0.0889463	0.6774155	0.5892930	0.6979236	0.7459698
109	0.0247973	0.3586848	0.6004293	0.4434738	0.4118623	0.0425744	0.6524267	0.6643430	0.7649512	0.7958790
110	0.0226814	0.3344822	0.7082411	0.4714611	0.4034406	0.0503550	0.6753233	0.7033136	0.7164910	0.6075340
111	0.0311811	0.3167540	0.6379975	0.4012558	0.3797557	0.0436252	0.6397688	0.6818482	0.7317474	0.7341277
112	0.0205425	0.2894385	0.5437133	0.5377740	0.4700996	0.0502024	0.6512369	0.5775720	0.6809146	0.6815533
113	0.0321177	0.3040156	0.5377378	0.4513496	0.5064017	0.0502732	0.6150636	0.5891365	0.5591901	0.6547443
