"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.6236376	0.0797128	0.2829083	0.0212547	0.1230012	0.3075507	0.7014403	0.2824540	0.0445073	0.8105182
1	0.5661423	0.0598715	0.3258471	0.0240216	0.1833573	0.3430880	0.7151899	0.3862554	0.0054501	0.7430444
2	0.6477161	0.0902089	0.2869295	0.0292478	0.1684367	0.4570499	0.7067749	0.3328879	0.0070115	0.6818091
3	0.5834178	0.0419653	0.2491821	0.0482730	0.1955223	0.4579716	0.6054913	0.3415429	0.0050726	0.7609046
4	0.7406303	0.0372074	0.2704085	0.0249562	0.1461226	0.4641046	0.6425081	0.3270519	0.0052050	0.7295911
5	0.6387497	0.0649134	0.2922493	0.0211097	0.1275370	0.4589598	0.5978593	0.3147786	0.0105040	0.7308604
6	0.5980802	0.0620189	0.2844420	0.0245897	0.1804076	0.3656672	0.5835381	0.3292987	0.0062929	0.6222658
7	0.6369543	0.0419632	0.2434667	0.0246800	0.1440758	0.4052041	0.5262828	0.2958270	0.0177854	0.6811283
8	0.5610329	0.0563625	0.2404641	0.0534065	0.2010683	0.3916893	0.6125324	0.3261347	0.0039401	0.7720753
9	0.6389492	0.0416560	0.2649238	0.0241786	0.2201417	0.5761274	0.5593425	0.2446476	0.0062328	0.7507144
10	0.6690197	0.0544707	0.2895932	0.0270479	0.1518713	0.4539917	0.6270224	0.2342273	0.0023781	0.7218480
11	0.7388974	0.0344629	0.3106538	0.0331630	0.1275559	0.4332987	0.6811700	0.2816863	0.0071645	0.6627958
12	0.6371314	0.0311079	0.2696715	0.0318992	0.2002009	0.4304410	0.6586034	0.2780140	0.0064468	0.7006548
13	0.5534095	0.0497160	0.3525385	0.0484256	0.1936000	0.4543050	0.6677258	0.2254448	0.0169309	0.6224450
14	0.6503986	0.0350132	0.4024445	0.0432775	0.1968139	0.4717118	0.6060010	0.2060117	0.0020841	0.7235427
15	0.7605160	0.0704082	0.3040605	0.0398974	0.2045528	0.4769835	0.5938312	0.2695458	0.0014841	0.6264179
16	0.6396134	0.0590641	0.3070182	0.0553723	0.1616660	0.4251656	0.7269716	0.1724424	0.0040219	0.6639134
17	0.6380053	0.0771019	0.2604552	0.0213810	0.1678122	0.4359911	0.6899356	0.2605858	0.0039987	0.6625607
18	0.6680531	0.0323199	0.3097958	0.0306424	0.2108555	0.6329029	0.6866985	0.2083461	0.0109110	0.8044989
19	0.7239945	0.0447268	0.3055862	0.0257766	0.2328452	0.4169321	0.6545028	0.2162194	0.0065926	0.6039903
20	0.6496229	0.0354296	0.3692962	0.0574189	0.2333624	0.4528676	0.6333389	0.1843870	0.0022272	0.6577022
21	0.5763419	0.0532196	0.3311175	0.0218337	0.1727868	0.3926262	0.7332446	0.2151953	0.0028692	0.6694486
22	0.7375556	0.0481684	0.2751394	0.0246882	0.2317160	0.4980821	0.6400497	0.1643672	0.0076475	0.6282030
23	0.6462844	0.0840044	0.3148276	0.0249750	0.2488808	0.4103877	0.6968447	0.1457266	0.0038126	0.5741705
24	0.7471020	0.0693150	0.3356959	0.0310511	0.2245201	0.5258424	0.6955598	0.1751167	0.0035980	0.6597933
25	0.7269972	0.0647307	0.3101130	0.0360327	0.1923022	0.4761256	0.7214987	0.1637459	0.0066363	0.6814574
26	0.6954635	0.0435714	0.3821178	0.0166096	0.1827971	0.4134079	0.7422295	0.1490637	0.0096782	0.6210071
27	0.6740418	0.0655295	0.3579275	0.0199651	0.2332001	0.4948607	0.5895829	0.1533316	0.0023492	0.5580578
28	0.6849533	0.0501993	0.3257486	0.0142760	0.2097679	0.4941618	0.6715657	0.1392377	0.0136144	0.6250299
29	0.6419987	0.0524162	0.2751638	0.0360581	0.1738141	0.5399107	0.7511360	0.1598194	0.0018363	0.7226410
30	0.6617467	0.0422730	0.3930275	0.0248783	0.1702334	0.4594962	0.7695301	0.1305974	0.0040765	0.7125920
31	0.7626202	0.0474261	0.3249051	0.0561120	0.2107049	0.4454214	0.7348851	0.1207660	0.0056506	0.6749938
32	0.5787803	0.0391770	0.3392885	0.0082888	0.1938067	0.5531281	0.6564139	0.1477084	0.0063775	0.5959728
33	0.7135883	0.0404461	0.2669696	0.0194120	0.1848609	0.5551212	0.8087947	0.1567218	0.0050304	0.6256246
34	0.8438977	0.0842758	0.2775597	0.0147651	0.2039616	0.5003412	0.5490868	0.1177113	0.0007054	0.6285677
35	0.7161347	0.0523009	0.2682776	0.0321991	0.1992017	0.5132167	0.6413766	0.1079441	0.0016581	0.5557405
36	0.6025893	0.0542176	0.2981450	0.0234123	0.1405400	0.5250997	0.6520153	0.0836142	0.0008311	0.6646724
37	0.8265135	0.0590896	0.2921593	0.0343760	0.2805293	0.4582523	0.7289956	0.0731887	0.0015694	0.6737642
38	0.8887356	0.0564192	0.3486527	0.0269762	0.3239540	0.5083981	0.6434866	0.1181824	0.0081835	0.6141991
39	0.7799863	0.0540915	0.3008361	0.0448398	0.2201652	0.5195041	0.6997194	0.1140820	0.0023800	0.5181713
40	0.6017204	0.0655571	0.2433721	0.0315479	0.1620151	0.5820054	0.7022036	0.1069476	0.0031639	0.6004313
