"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.0285705	0.2517560	0.3804311	0.0776968	0.7383664	0.5262595	0.5983576	0.4079647	0.8146360	0.7259440
1	0.0209226	0.1873895	0.4438436	0.0557147	0.5573397	0.4550479	0.6225146	0.5475444	0.7308164	0.6019675
2	0.0383060	0.2142942	0.4449109	0.0476721	0.5020310	0.6157847	0.6873636	0.5805883	0.7777683	0.6847219
3	0.0276091	0.1918296	0.4259779	0.0862700	0.4362186	0.5154526	0.6775393	0.4981797	0.7637400	0.7455941
4	0.0623711	0.2332732	0.4804226	0.0556843	0.4892766	0.5590451	0.6231250	0.5223399	0.6645523	0.5394645
5	0.0209466	0.1726025	0.4893783	0.0826954	0.5511584	0.4760634	0.5533706	0.4614394	0.7556353	0.6684957
6	0.0233423	0.2295998	0.5466833	0.0424936	0.5193492	0.5181413	0.6891610	0.5008526	0.7595739	0.6635934
7	0.0257211	0.1659575	0.4910961	0.0733698	0.5269769	0.5087338	0.7273049	0.5101680	0.7648402	0.5406917
8	0.0403761	0.1772851	0.4769651	0.0791650	0.4490844	0.5428049	0.7850577	0.4558628	0.6547245	0.5930140
9	0.0330246	0.1822305	0.5650967	0.0638969	0.4430598	0.5331146	0.7106589	0.5754839	0.8604042	0.5538687
10	0.0232819	0.1911566	0.4150471	0.1314448	0.5264527	0.5595021	0.6822382	0.4966752	0.7329840	0.6137073
11	0.0211734	0.2303210	0.5334007	0.0810147	0.5849213	0.5363723	0.7331482	0.5484602	0.7244954	0.6493220
12	0.0305938	0.2674117	0.4542159	0.1057911	0.5400497	0.4680988	0.6232193	0.5686873	0.7273805	0.5646833
13	0.0275294	0.2027713	0.3979532	0.0680266	0.5027050	0.5190611	0.7030540	0.5195649	0.7963364	0.7375360
14	0.0157995	0.1856148	0.5619613	0.0920362	0.4103294	0.5221498	0.7633160	0.5020608	0.6675003	0.5317655
15	0.0565828	0.1495862	0.3769887	0.0879792	0.3675550	0.5834734	0.6668776	0.4936133	0.7673871	0.5923423
16	0.0177640	0.1760649	0.3862493	0.1530115	0.5078286	0.4435358	0.6300937	0.4954894	0.7771082	0.5498598
17	0.0226665	0.1977880	0.4662219	0.0802295	0.4563118	0.6060797	0.6534383	0.6132537	0.6540761	0.5656459
18	0.0238486	0.1813026	0.4498344	0.0880913	0.3844764	0.5109579	0.6296541	0.5447555	0.6024029	0.4668383
19	0.0245147	0.1740010	0.3569477	0.1700880	0.4213405	0.4841248	0.7065088	0.5116136	0.6926571	0.5445257
20	0.0242401	0.2037875	0.4544304	0.0681878	0.3571158	0.4986257	0.6809623	0.5961541	0.6400341	0.5577803
21	0.0360152	0.1973010	0.4591372	0.0883313	0.4102625	0.4821424	0.7151599	0.4146801	0.7230908	0.6393843
22	0.0199024	0.2329216	0.3704277	0.1083324	0.4476919	0.5812098	0.6699707	0.5500921	0.6822325	0.6203321
23	0.0258166	0.1833252	0.3751579	0.1218084	0.3900057	0.4066745	0.6027736	0.4909880	0.6302189	0.6271117
24	0.0353151	0.2213893	0.3837291	0.0575574	0.3198230	0.6280391	0.7026182	0.4871028	0.7503979	0.6670267
25	0.0099804	0.2201466	0.4924135	0.0659544	0.4237169	0.5173206	0.7323718	0.5703823	0.7713298	0.4438982
26	0.0206252	0.1466036	0.3727771	0.0553161	0.3517453	0.5529200	0.5459664	0.6073999	0.7349355	0.5505119
27	0.0230085	0.1655380	0.4598558	0.0570710	0.3980057	0.5695723	0.6597989	0.4808338	0.7635399	0.4885780
28	0.0267347	0.1612019	0.3829135	0.0383714	0.3950828	0.4708316	0.7745496	0.5617248	0.6973036	0.5104604
29	0.0233476	0.1576352	0.3964612	0.0773647	0.3780538	0.4191230	0.6485926	0.5515379	0.6397264	0.5654900
30	0.0052287	0.2085598	0.4255025	0.1334059	0.2967135	0.3839268	0.7016186	0.6155453	0.5750622	0.5398638
31	0.0159347	0.1759541	0.4815239	0.0578138	0.3218665	0.4139995	0.6695223	0.5815777	0.7244409	0.5332867
32	0.0121581	0.2002852	0.4532162	0.0635012	0.3532436	0.3772545	0.8899675	0.4920182	0.7216602	0.6510948
33	0.0296287	0.1649853	0.4728971	0.1217123	0.3788601	0.5219690	0.7225236	0.4867497	0.8094157	0.5992861
34	0.0298111	0.1775487	0.4399651	0.0792005	0.3622935	0.5082949	0.7157870	0.5030956	0.6780400	0.5198049
35	0.0162962	0.1932812	0.4694363	0.1024011	0.3252574	0.5869951	0.7478245	0.5516951	0.7118686	0.4360895
36	0.0312774	0.1463911	0.3901602	0.0903823	0.2756453	0.4344787	0.6268380	0.5197720	0.8708803	0.5782788
37	0.0360091	0.1274982	0.4190984	0.0978854	0.3220579	0.4830584	0.7801001	0.6595532	0.7782073	0.4773799
38	0.0089282	0.1585475	0.4259186	0.0495235	0.2744823	0.4859081	0.6712752	0.5870185	0.8730613	0.4438347
39	0.0178254	0.1760421	0.4702780	0.0686399	0.4002863	0.4384938	0.7414584	0.5220132	0.7225933	0.5158343
40	0.0247856	0.1954455	0.4804455	0.0720122	0.3682106	0.6489152	0.6731337	0.6459995	0.7466745	0.5173779
41	0.0210167	0.1544053	0.3673806	0.0784921	0.3045961	0.4131134	0.7053787	0.5171710	0.5825996	0.5232610
42	0.0109859	0.1987859	0.4709114	0.0803111	0.2135734	0.4504964	0.7564944	0.4320650	0.6258991	0.5365650
43	0.0162571	0.1388391	0.4401854	0.0843064	0.2385812	0.4826322	0.6824958	0.5136528	0.7729207	0.5326280
44	0.0074226	0.2449873	0.5254348	0.0453415	0.2876826	0.4570978	0.7153728	0.5217515	0.6600317	0.5959649
45	0.0074709	0.1726692	0.4787663	0.0649482	0.2939688	0.4940443	0.7821088	0.5267278	0.7253493	0.4448895
46	0.0108494	0.2045961	0.4958220	0.0751657	0.3336514	0.5221160	0.6825699	0.4280770	0.7616921	0.5681765
47	0.0141274	0.1969549	0.5027422	0.1290210	0.2442103	0.5246840	0.7335571	0.5607389	0.7005249	0.5336779
48	0.0064801	0.1906793	0.4047101	0.0735313	0.2658014	0.5536550	0.7127974	0.5380387	0.7498201	0.4827780
49	0.0080500	0.1533240	0.4798539	0.0592374	0.2047286	0.4617575	0.7443989	0.5928252	0.8030821	0.4753452
50	0.0068912	0.1586228	0.5392660	0.1001805	0.2527150	0.4927294	0.8433717	0.4515914	0.8855848	0.4231911
51	0.0198587	0.1468083	0.4292503	0.0847279	0.2640558	0.4048512	0.7967347	0.5369361	0.7100995	0.4220002
52	0.0040633	0.1897363	0.4402434	0.0872764	0.2554003	0.4412131	0.8322108	0.4801005	0.7106499	0.4983655
53	0.0073390	0.1840284	0.4884080	0.0708833	0.2405812	0.4429744	0.6518844	0.5281463	0.7626862	0.4851481
54	0.0037975	0.2376035	0.6036018	0.1178156	0.1780009	0.5162134	0.8121519	0.4503986	0.7756195	0.5303413
55	0.0104866	0.2167545	0.5454723	0.0851288	0.2613757	0.4787017	0.6164874	0.4940052	0.6947496	0.5138898
56	0.0064079	0.1725469	0.4930741	0.0983311	0.2481291	0.5108056	0.7305962	0.4483631	0.8135519	0.4548710
57	0.0282610	0.2289090	0.4495088	0.0738747	0.2030235	0.4862101	0.6871533	0.5327763	0.7854010	0.6576418
58	0.0083713	0.1903628	0.4777195	0.0702699	0.2065324	0.4991888	0.6505512	0.5183661	0.7925050	0.6134472
59	0.0061168	0.1830767	0.5310218	0.0813720	0.2410808	0.4546205	0.7428571	0.4831679	0.7800921	0.5735265
60	0.0066017	0.2385893	0.4092808	0.0962419	0.2096352	0.5228635	0.6768977	0.5751327	0.7763570	0.4495919
61	0.0057278	0.1791588	0.5214976	0.1295993	0.2448652	0.4616157	0.7986607	0.4716932	0.7812031	0.5031561
62	0.0083465	0.1918902	0.4846406	0.1285328	0.1969518	0.6477493	0.8254805	0.4928794	0.7525974	0.5306351
63	0.0205078	0.2288322	0.4125362	0.0752387	0.2334662	0.4948100	0.8244222	0.4464434	0.7911133	0.4870283
64	0.0095472	0.2158666	0.4722929	0.1258675	0.1785549	0.4772410	0.7205201	0.5737444	0.7255377	0.5136010
65	0.0077579	0.2274157	0.4701191	0.1451081	0.2279279	0.5175331	0.7869706	0.4519425	0.7418952	0.6795151
66	0.0099589	0.1815897	0.5282636	0.1243804	0.2184998	0.5141554	0.6996631	0.4909044	0.7050255	0.5336504
67	0.0054309	0.1907315	0.4870077	0.0604653	0.2022717	0.5057594	0.7509286	0.4403357	0.7858960	0.5484399
68	0.0040735	0.2349923	0.4314901	0.0988282	0.2081000	0.5187456	0.8049811	0.4785779	0.8113958	0.4307096
69	0.0060688	0.2061911	0.5089177	0.0662044	0.2071541	0.4208146	0.8126288	0.5318056	0.7513535	0.5162002
70	0.0113262	0.1965927	0.4835587	0.1053346	0.1470366	0.4823791	0.7797948	0.5178698	0.7347823	0.5292557
71	0.0076678	0.1612099	0.5155561	0.1010939	0.1851376	0.5492313	0.5373612	0.4339666	0.6523860	0.4281608
72	0.0069783	0.1815051	0.4890287	0.1555153	0.2070701	0.5611858	0.7078104	0.4599903	0.7058710	0.4871455
73	0.0057590	0.2024887	0.5585502	0.0850525	0.1561061	0.4342692	0.5971073	0.5283811	0.7305123	0.6239970
74	0.0034659	0.3164978	0.4983596	0.0934453	0.1841704	0.4983384	0.6919938	0.5410183	0.7259985	0.5406276
75	0.0084932	0.2423437	0.4919497	0.1233287	0.1390860	0.5220647	0.6416959	0.4909378	0.7049596	0.5446316
76	0.0108794	0.1552184	0.4843374	0.1584834	0.1980445	0.5413105	0.7547247	0.4352043	0.7885331	0.5052297
77	0.0077298	0.1927648	0.4293310	0.1077926	0.2027151	0.3892190	0.6811226	0.4664330	0.6326619	0.6397230
78	0.0211072	0.1439432	0.4711749	0.0707844	0.1253869	0.4714661	0.6506426	0.5251167	0.7908929	0.4580186
79	0.0128642	0.1636991	0.3786293	0.0958602	0.1712800	0.4807305	0.6753013	0.4671442	0.5800429	0.5950573
80	0.0073372	0.2416002	0.4075862	0.1036273	0.1620411	0.5083586	0.7883746	0.5532336	0.7676797	0.4661397
81	0.0159068	0.1720126	0.4186560	0.0791731	0.1503930	0.4250168	0.6277832	0.5890856	0.6798651	0.5336508
82	0.0123995	0.1786735	0.5366294	0.0765251	0.1784837	0.4349581	0.7350753	0.4715407	0.7522684	0.5147933
83	0.0115166	0.1906823	0.3933850	0.0828788	0.1246364	0.5360960	0.6861468	0.5179367	0.6929327	0.6346167
84	0.0126460	0.1830396	0.4702318	0.0892847	0.1353317	0.5058164	0.7108972	0.5102412	0.6978688	0.5348772
85	0.0080785	0.2139113	0.3788262	0.0589265	0.1819344	0.4435237	0.7318085	0.5809614	0.7117142	0.5324250
86	0.0089093	0.2450556	0.4656325	0.1238846	0.2103430	0.4517202	0.6037586	0.5703746	0.8130058	0.4814072
87	0.0151090	0.1959927	0.4365008	0.0919323	0.2033116	0.4664169	0.7148220	0.4629893	0.8299901	0.4483336
88	0.0190015	0.2116683	0.4198289	0.0759341	0.1799586	0.4307004	0.6357144	0.4698086	0.6919480	0.4166144
89	0.0171491	0.2165160	0.4459241	0.1040920	0.1661551	0.3575209	0.6598594	0.4253342	0.7158123	0.5947104
90	0.0176573	0.1523569	0.4142318	0.0555737	0.1289430	0.4821525	0.7190760	0.5412668	0.7267291	0.5035186
91	0.0087075	0.2026372	0.4512497	0.0975654	0.1252182	0.4720184	0.7233610	0.5142074	0.7205949	0.4091717
