"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.7206493	0.4197869	0.4846824	0.6644811	0.7336675	0.6087585	0.3650627	0.0601783	0.0957919	0.1567204
1	0.7753544	0.4581500	0.5663164	0.6264325	0.6962230	0.6713056	0.3762557	0.0481844	0.1066426	0.2453354
2	0.7156439	0.3884665	0.5350338	0.5198129	0.6527503	0.5087234	0.4337539	0.0574320	0.0901825	0.2344003
3	0.7372979	0.3302393	0.3964342	0.5034110	0.7683508	0.6794827	0.4085709	0.0378611	0.0798338	0.2647582
4	0.8729181	0.3501163	0.5632436	0.6165505	0.8327833	0.5555992	0.3498947	0.0349754	0.1188064	0.2491989
5	0.8007197	0.3616895	0.5009971	0.5290398	0.7308992	0.5294578	0.3718973	0.0467494	0.0964520	0.2490070
6	0.7564872	0.4837440	0.5120060	0.5017491	0.6203500	0.6032344	0.3819900	0.0224498	0.1614783	0.2909141
7	0.7693210	0.4117614	0.4738116	0.5330918	0.8120204	0.6700759	0.4114923	0.0286300	0.1377418	0.2733268
8	0.7118316	0.3184473	0.5974034	0.5092984	0.7725699	0.6188034	0.3361071	0.0347745	0.1672060	0.2416591
9	0.7847642	0.3727755	0.5119680	0.6651683	0.6335086	0.5330350	0.4671556	0.0419704	0.1312677	0.2748762
10	0.7525440	0.4353050	0.5578445	0.5417795	0.6195579	0.5792807	0.3582034	0.0308106	0.1053851	0.2039201
11	0.6982914	0.4708599	0.4615513	0.7044743	0.7929498	0.6535379	0.3607173	0.0422427	0.1372865	0.2893876
12	0.6969220	0.3615549	0.5199429	0.6138015	0.5652049	0.6555456	0.3304259	0.0397527	0.1417712	0.3319915
13	0.7638278	0.4260595	0.5161920	0.7255854	0.7023043	0.5492813	0.3476373	0.0260669	0.1716666	0.2506244
14	0.6818741	0.4544698	0.4646429	0.5954800	0.7946908	0.5783602	0.3429232	0.0259515	0.1844797	0.2433642
15	0.7852197	0.3777953	0.6003257	0.6429104	0.6323884	0.6239870	0.3260307	0.0285737	0.1525976	0.2825274
16	0.7609504	0.4542174	0.5050054	0.6929650	0.7182907	0.5098044	0.4025394	0.0487345	0.1722717	0.2631446
17	0.8203843	0.4225565	0.5498840	0.5651594	0.7188593	0.5919138	0.4220800	0.0343212	0.1867896	0.3787550
18	0.6819277	0.4115476	0.5572544	0.7182867	0.8015879	0.5892604	0.4124459	0.0215598	0.2380499	0.3673350
19	0.7849750	0.3972412	0.5168448	0.5657919	0.6093323	0.6693019	0.3390042	0.0255022	0.2703411	0.3151033
20	0.7755707	0.3619285	0.5173704	0.6208973	0.7589523	0.5735535	0.4016932	0.0097826	0.2486511	0.3007371
21	0.7522516	0.4038714	0.4432361	0.6105318	0.6327801	0.5894329	0.3804407	0.0381938	0.2617801	0.2276767
22	0.8101919	0.4061972	0.5347179	0.6311568	0.7021867	0.4793583	0.4039112	0.0436278	0.2052133	0.1925347
23	0.7680196	0.3623890	0.4547201	0.6008887	0.7049015	0.5326698	0.4194145	0.0330695	0.1834639	0.2976139
24	0.7772451	0.4441654	0.6662793	0.4836924	0.8261798	0.5860217	0.3753811	0.0333515	0.2183324	0.2520933
25	0.8082133	0.4455805	0.5855919	0.6322085	0.5810898	0.5711499	0.4363076	0.0362446	0.2479165	0.2500611
26	0.9431318	0.4813387	0.5528159	0.6070006	0.6834508	0.6708590	0.4285437	0.0210821	0.2082877	0.2340840
27	0.8169110	0.4062614	0.5937533	0.6318132	0.7016179	0.5523536	0.3421015	0.0238582	0.2228152	0.2499875
28	0.6981465	0.4215853	0.5515823	0.6613774	0.7039692	0.5196022	0.4707255	0.0288680	0.2699346	0.2637749
29	0.7619492	0.3654536	0.5354408	0.5471164	0.6448105	0.6940304	0.3846820	0.0460832	0.2336626	0.2331738
30	0.7920075	0.4077765	0.4802988	0.5274070	0.6305275	0.5886665	0.4883435	0.0439957	0.2251161	0.1646010
31	0.7149757	0.3802054	0.5458306	0.6548756	0.6684039	0.6318135	0.4150383	0.0327421	0.2422420	0.2647739
32	0.7732522	0.4979732	0.5331615	0.5650729	0.7170180	0.5550146	0.3994900	0.0266468	0.2953360	0.2378459
33	0.7339365	0.3990496	0.4865160	0.5950678	0.6267458	0.4744053	0.4356509	0.0206624	0.2934301	0.2620225
34	0.8130542	0.4075691	0.4904404	0.5613610	0.7261117	0.4914943	0.3908819	0.0246195	0.3115264	0.2200328
35	0.8236761	0.3754875	0.4847928	0.5436309	0.6979250	0.5225456	0.3997140	0.0294834	0.2875783	0.2544844
36	0.7651887	0.3732772	0.4730408	0.5550940	0.7025608	0.5606434	0.4097286	0.0511709	0.2700198	0.2621680
37	0.8156503	0.3832882	0.5034645	0.6240736	0.6650880	0.5757617	0.3871698	0.0270739	0.3608440	0.3144634
38	0.7279008	0.3992701	0.4984787	0.5764305	0.7869313	0.5326840	0.3834965	0.0329779	0.2622810	0.2747018
39	0.7584199	0.4220249	0.4996619	0.4806177	0.7583957	0.6376223	0.3327590	0.0709848	0.2512825	0.2056483
40	0.7709784	0.3905911	0.4867436	0.5883673	0.7590636	0.5933479	0.3729921	0.0910895	0.2631837	0.2561836
41	0.8728847	0.4703605	0.5184697	0.5518296	0.6318956	0.5626622	0.4015743	0.0607374	0.2634401	0.2297674
42	0.8096695	0.4361084	0.5362736	0.5135513	0.6544548	0.6124099	0.3761112	0.0413828	0.2136402	0.2897580
43	0.7392911	0.4253494	0.5033622	0.5902780	0.6733894	0.5273254	0.3851825	0.0427770	0.3476082	0.2305168
44	0.7289748	0.4129155	0.4803265	0.5489238	0.7251612	0.5601768	0.4102371	0.0353614	0.2775559	0.1854101
45	0.7552938	0.4317367	0.5397253	0.5307460	0.7706743	0.5139830	0.3760164	0.0298398	0.2703950	0.2260057
46	0.7063186	0.4894774	0.6329554	0.6238519	0.7346841	0.5790310	0.4293376	0.0597042	0.3131181	0.2941943
47	0.7268065	0.4768152	0.4988138	0.6738994	0.7290991	0.5282083	0.3647397	0.0435663	0.2941628	0.2346133
48	0.7891833	0.4409864	0.5607762	0.6321597	0.5928538	0.5898931	0.3888182	0.0582085	0.3061117	0.2822467
49	0.7757116	0.5369242	0.6595623	0.6151204	0.7510798	0.4659848	0.3720871	0.0623337	0.3186319	0.2631589
50	0.8283051	0.4240503	0.5643366	0.5944266	0.6121479	0.5031119	0.4057750	0.0442765	0.3857288	0.2619978
