G1	G7	-
G1	G2	-
G1	G4	+
G3	G1	+
G3	G7	-
G3	G2	+
G3	G4	-
G10	G8	+
G7	G6	+
G7	G8	-
G4	G6	-
G4	G9	-
G4	G5	-
