G9	G7	-
G10	G7	-
G2	G3	+
G2	G7	+
G2	G5	+
G4	G2	+
G4	G8	-
G4	G6	+
G7	G3	-
G7	G5	-
G1	G2	+
G6	G9	-
G6	G5	-
